ID,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,Nazwa,Język,"Jakie jest Twoje doświadczenie z techniką oświetleniową, realizacją sceny lub profesjonalną produkcją muzyczną?","Jak często bywasz na koncertach z profesjonalnym oświetleniem?
",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty),Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty),Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu),Adekwatność doboru efektów i kolorów do klimatu gatunku,"Ogólna estetyka, płynność i naturalność wizualna pokazu",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)2,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)2,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)2,Adekwatność doboru efektów i kolorów do klimatu gatunku2,"Ogólna estetyka, płynność i naturalność wizualna pokazu2",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)3,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)3,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)3,Adekwatność doboru efektów i kolorów do klimatu gatunku3,"Ogólna estetyka, płynność i naturalność wizualna pokazu3",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)4,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)4,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)4,Adekwatność doboru efektów i kolorów do klimatu gatunku4,"Ogólna estetyka, płynność i naturalność wizualna pokazu4",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)5,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)5,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)5,Adekwatność doboru efektów i kolorów do klimatu gatunku5,"Ogólna estetyka, płynność i naturalność wizualna pokazu5",Synchronizacja rytmiczna (precyzja reakcji na uderzenia i akcenty)6,Oddanie dynamiki (adekwatna reakcja na ciche oraz głośne momenty)6,Reakcja na strukturę utworu (np. zmiana światła przy wejściu refrenu)6,Adekwatność doboru efektów i kolorów do klimatu gatunku6,"Ogólna estetyka, płynność i naturalność wizualna pokazu6","Czy zaakceptowałbyś/łabyś takie oświetlenie na prawdziwym koncercie w małym klubie?
","Dodatkowe uwagi dotyczące zachowania świateł (np. nienaturalne migotanie, wyjątkowo udane przejścia barw)"
11,2026-08-12 14:35:01,2026-08-12 14:41:09,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,3,3,4,2,2,4,3,2,3,3,4,3,4,4,4,4,4,4,4,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,4,4,4,4,Raczej tak,
12,2026-08-12 14:38:57,2026-08-12 14:42:16,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,3,4,2,3,2,4,3,4,2,2,4,3,3,3,2,4,3,4,3,2,4,3,3,2,2,4,3,4,3,2,Raczej tak,
13,2026-08-12 14:36:15,2026-08-12 14:45:41,anonymous,,Polski,"Hobbystyczne lub teoretyczne (interesuję się tym, mam podstawową wiedzę)",Kilka razy w roku,3,3,3,2,2,2,3,2,3,3,2,3,4,4,3,2,2,2,2,2,2,4,4,4,3,2,3,3,4,3,Raczej tak,
14,2026-08-12 14:55:36,2026-08-12 15:01:32,anonymous,,Polski,"Hobbystyczne lub teoretyczne (interesuję się tym, mam podstawową wiedzę)",Kilka razy w roku,2,2,1 - Bardzo słabe,3,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,3,1 - Bardzo słabe,1 - Bardzo słabe,2,1 - Bardzo słabe,3,1 - Bardzo słabe,2,2,1 - Bardzo słabe,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,Nie,
15,2026-08-12 15:27:48,2026-08-12 15:34:34,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Rzadziej niż raz w roku,1 - Bardzo słabe,2,3,3,2,2,3,3,3,2,3,3,4,3,2,3,3,3,3,2,4,4,3,3,3,3,3,4,3,4,Raczej tak,
16,2026-08-12 15:21:40,2026-08-12 15:36:20,anonymous,,English (United Kingdom)‎,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,2,3,2,3,2,2,2,1 - Bardzo słabe,2,2,1 - Bardzo słabe,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,2,Nie,"Song structures and timings seem to be off. You could propably give the ai 10-20ms more time to think since light travels fast. 

Algorithm doesnt seem to undestand song structure and does way too much too early or too late. Most of the songs have 8 or 16 bar sections and you could train the ai to stick to one thing for one part. Accents were off in the most parts. It could just follow the snare and bass drum. If this would work it would be perfect for night clubs. In a live setting it propably wouldnt work."
17,2026-08-12 15:31:41,2026-08-12 15:38:12,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,5 - Znakomite,3,3,4,4,4,5 - Znakomite,4,3,2,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,3,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,4,4,3,2,5 - Znakomite,4,4,3,5 - Znakomite,Raczej tak,Duża powtarzalność 
18,2026-08-12 15:32:23,2026-08-12 15:40:05,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,5 - Znakomite,4,2,4,2,5 - Znakomite,4,2,2,3,5 - Znakomite,4,4,4,4,5 - Znakomite,5 - Znakomite,4,4,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,4,3,3,3,Raczej tak,mało naturalne zmiany kolorów w nieodpowiednich momentach- zazwyczaj zbyt szybkie do wejścia refrentu
19,2026-08-12 15:39:03,2026-08-12 15:41:53,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,3,1 - Bardzo słabe,2,3,2,3,4,3,2,3,2,2,2,1 - Bardzo słabe,2,3,3,2,3,3,3,2,2,3,3,3,3,2,4,3,Nie,
20,2026-08-12 15:37:05,2026-08-12 15:45:41,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,3,4,2,3,3,4,1 - Bardzo słabe,1 - Bardzo słabe,4,2,2,2,4,3,2,2,3,1 - Bardzo słabe,5 - Znakomite,2,3,2,3,2,1 - Bardzo słabe,2,1 - Bardzo słabe,4,3,3,Raczej nie,Bardzo mało ruchu na scenie
21,2026-08-12 13:56:04,2026-08-12 15:49:10,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Kilka razy w roku,4,4,3,4,4,4,5 - Znakomite,2,3,4,2,4,4,3,4,5 - Znakomite,2,3,2,2,4,3,2,2,1 - Bardzo słabe,3,2,1 - Bardzo słabe,2,1 - Bardzo słabe,Raczej nie,"No dobra, to lecimy najpierw z uwagami ogólnymi:
- brak konsekwencji w wyborze przede wszystkim kolorów, ale też efektów. Zmiany w środku sekcji (np. refrenu), zupełnie niespodziewane
- niektóre zmiany wyglądają na nieprzemyślane, inne spóźnione o 10 sekund (szczególnie solidnie po wejściu w refren)
- często reakcja na wejście kolejnej sekcji (refrenu, przerywnika, outro) jest za słaba lub całkiem jej nie ma
- całkiem niezłe trzymanie się rytmu piosenki, reakcja na akcenty do dopracowania, ale jest nieźle

Uwagi do konkretnych sampli:
Sample 1 - trochę spóźnionych lub losowych zmian kolorów i/lub animacji 
Sample 2 - wejście w refren fajnie, tylko że po 3 sekundach efekt jest zatrzymany. No i w środku refrenu całkowita zmiana koncepcji z dupy.
Sample 3 - nagłe zatrzymanie ruchu w 11 sekundzie. Nienaturalna zmiana kolorów na różowy, w środku zwrotki. Nieregularne akcenty w jasności świateł, raz jest akcent, raz nie ma. Za to początek bardzo fajny, blindery ekstra! Gdyby akcenty intensity były równo i konsekwentnie to efekt byłby znacznie lepszy, bo to jedyny rzucający się w oczy element który zaburza ogólną konsekwencję w koncepcji (poza losowym różowym w środku zwrotki)
Sample 4 - pre-chorus ekstra, a potem zupełny brak reakcji na chorus przez kilka sekund. Zmiany w kolorach niekonsekwentne, podejmowane w środku refrenu. Dobrze że pod koniec wyłączone animacje ruchu i jasności. Fade out jakiś taki nieregularny, jakby ktoś z drgawkami fader przesuwał w dół.
Sample 5 - koło 8 sekundy mikro pauza w animacji, poza tym brak uwag do pierwszej połowy nagrania - to wyszło bardzo fajnie, gdyby ktoś tak zrealizował światło w klubie to byłbym zadowolony. W drugiej części natomiast wygląda to tak, jakby do realizatora przyszedł właściciel lokalu i nakazał kończyć imprezę - zupełnie nieadekwatna, całkowita zmiana koncepcji. No i na zwieńczenie zmiana koloru w losowym momencie.
Sample 6 - Kolory zmieniają się szybciej niż w kolorofonie XD Całkowity brak konsekwencji m.in. w doborze kolorów burzy cały odbiór. A wystarczyło trzymać się jednej koncepcji, bo w gruncie rzeczy dynamika w tym fragmencie utworu jest względnie stała.

Ogólnie jest w czym rzeźbić, ale do produktu finalnego daleko"
22,2026-08-12 16:42:30,2026-08-12 16:47:32,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,2,2,2,1 - Bardzo słabe,2,2,2,1 - Bardzo słabe,2,2,2,2,1 - Bardzo słabe,1 - Bardzo słabe,2,2,2,1 - Bardzo słabe,1 - Bardzo słabe,2,2,2,1 - Bardzo słabe,1 - Bardzo słabe,2,3,2,2,1 - Bardzo słabe,2,Raczej nie,
23,2026-08-12 16:35:48,2026-08-12 16:58:17,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Kilka razy w roku,4,4,5 - Znakomite,5 - Znakomite,3,5 - Znakomite,4,3,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,4,3,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,3,5 - Znakomite,Tak,W niektórych piosenkach ruchy świateł były trochę nie w punkt tzn. Zmieniały się trochę za późno albo za wcześnie. Czasami kolory nie zgadzały się z nastrojem reprezentowanym przez dany utwór 
24,2026-08-12 17:16:26,2026-08-12 17:32:29,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Kilka razy w roku,4,2,2,3,3,2,1 - Bardzo słabe,1 - Bardzo słabe,2,2,4,4,4,5 - Znakomite,4,5 - Znakomite,4,5 - Znakomite,4,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,Raczej tak,"Za dużo żółtego- kolor ewidentnie nie pasował do większości utworów a przynajmniej nie powinien dominować. Przy bardziej energicznej muzyce przydało by się bardziej energiczne miganie/zmiana świateł lub ich umożenia (żeby trochę bardziej oddać energię utworu - zwłaszcza w pierwszych filmikach), chociaż przy ac/dc było dobrze 👍🏻 "
25,2026-08-12 17:26:23,2026-08-12 17:33:32,anonymous,,English (United Kingdom)‎,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Kilka razy w roku,2,2,3,1 - Bardzo słabe,2,3,2,2,1 - Bardzo słabe,2,3,3,2,3,2,2,3,2,2,2,2,3,3,2,3,3,3,3,2,2,Raczej tak,Movement in position changes not matching the vibe 
26,2026-08-12 17:25:47,2026-08-12 17:34:06,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,5 - Znakomite,3,4,5 - Znakomite,3,2,3,3,4,4,5 - Znakomite,3,4,5 - Znakomite,4,4,2,3,3,3,4,3,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,4,Raczej nie,"W myśl powiedzenia ""czasem mniej znaczy więcej"" - nie zawsze wszystko musi palić na pełnej :) niekiedy np zamiast stompa spoty mogłyby zwyczajnie zgasnąć. Podoba mi się reakcja blinderow "
27,2026-08-12 17:21:38,2026-08-12 17:47:43,anonymous,,Polski,"Hobbystyczne lub teoretyczne (interesuję się tym, mam podstawową wiedzę)",Kilka razy w roku,2,4,4,3,3,5 - Znakomite,4,4,4,4,3,4,5 - Znakomite,2,3,3,5 - Znakomite,4,3,4,5 - Znakomite,4,5 - Znakomite,3,4,4,4,2,4,3,Tak,"wykrywanie początku refrenu działa fajnie, ale bywają niepotrzebne przejścia przed jego końcem"
28,2026-08-12 17:54:10,2026-08-12 17:59:05,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,1 - Bardzo słabe,2,2,2,1 - Bardzo słabe,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,Nie,Niestety wszystko wygląda ekstremalnie przypadkowo i słabo
29,2026-08-12 17:52:45,2026-08-12 18:05:41,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,2,2,1 - Bardzo słabe,1 - Bardzo słabe,2,1 - Bardzo słabe,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,2,2,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,2,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,Nie,"Wielki chaos, nic nie wynika z niczego, brak spójności, ciągłości, brak pomysłu na oddanie klimatu utworu, zmiany w losowych chwilach utworu, brak oddania i brak podkreślenia formy i danych fraz utworu, jedne i te same efekty na wszystkich pokazach, brak wykorzystania pełnej funkcjonalności urządzeń, "
30,2026-08-12 19:05:05,2026-08-12 19:20:39,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,4,4,4,5 - Znakomite,4,1 - Bardzo słabe,2,1 - Bardzo słabe,2,2,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,3,4,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,Tak,"W utworach z nieoczywistym czy nieczytelnym schematem rytmicznym program potrafił się zgubić, ale nawet wtedy uzyskany efekt wizualny wyszedł lepiej niż z rąk żywego realizatora oświetlenia z małym doświadczeniem."
31,2026-08-12 19:31:52,2026-08-12 19:37:59,anonymous,,English (United Kingdom)‎,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,5 - Znakomite,2,4,1 - Bardzo słabe,2,2,2,3,2,1 - Bardzo słabe,1 - Bardzo słabe,4,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,4,5 - Znakomite,1 - Bardzo słabe,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,5 - Znakomite,4,5 - Znakomite,3,3,Raczej nie,
32,2026-08-12 20:19:41,2026-08-12 20:23:03,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,5 - Znakomite,4,4,3,4,5 - Znakomite,2,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,4,4,5 - Znakomite,4,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,Raczej tak,
33,2026-08-12 20:27:59,2026-08-12 20:35:43,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Kilka razy w roku,4,3,4,4,4,3,2,2,2,2,3,4,3,4,4,3,4,5 - Znakomite,5 - Znakomite,4,4,4,4,4,4,3,2,2,3,3,Raczej tak,"Program niestety często się gubi, zazwyczaj w taki sposób że poprawnie reaguje na zmianę w utworze ale szybko ""zmienia zdanie""."
34,2026-08-12 22:28:49,2026-08-12 23:16:12,anonymous,,Polski,Brak (jestem po prostu odbiorcą / widzem),Rzadziej niż raz w roku,4,2,3,3,3,3,3,2,3,4,3,4,4,5 - Znakomite,4,3,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,Tak,
35,2026-08-12 23:06:16,2026-08-12 23:16:23,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,2,2,3,5 - Znakomite,3,2,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,4,5 - Znakomite,4,5 - Znakomite,4,3,3,3,2,2,4,3,4,3,4,1 - Bardzo słabe,1 - Bardzo słabe,1 - Bardzo słabe,3,2,Raczej tak,"nagłe zmiany kolorów - lepiej zostawić jedną paletę niż nagle zmienić bez żadnego przejścia, używanie wszystkich urządzeń na raz, opóźnione reakcje na zmiany rytmiki"
36,2026-08-13 00:01:26,2026-08-13 00:30:49,anonymous,,Polski,"Hobbystyczne lub teoretyczne (interesuję się tym, mam podstawową wiedzę)",Kilka razy w roku,3,2,3,2,2,4,3,3,3,4,4,4,4,3,4,4,4,5 - Znakomite,5 - Znakomite,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,3,4,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,5 - Znakomite,Raczej tak,"Światła i ich ruch na filmikach klatkują (być może jest to kwestia formsów). Uważam że jest zbyt duża nadreprezentacja barw z grupy: pomarańczowy, czerwony, żółty, itd.; przy jednoczesnym niedoreprezentowaniu barw z grupy: magenta, fiolet, zieleń, cyan, niebieski, itd. Przy części utworów uważam że na dobre by wyszło gdyby właśnie zmienić te pierwsze ostre i wyraziste barwy, na te drugie łagodniejsze. "
37,2026-08-12 23:16:13,2026-08-13 00:42:41,anonymous,,Polski,Profesjonalne (pracuję w branży / realizuję światło lub dźwięk),Przynajmniej raz w miesiącu,2,3,2,2,2,1 - Bardzo słabe,2,3,2,1 - Bardzo słabe,3,3,2,3,3,3,2,3,3,3,3,2,3,2,3,3,3,2,1 - Bardzo słabe,2,Raczej nie,"dla wprawionego oka nie do przejścia, dla zwykłego tłumu może być po prostu męczące, zbyt mechaniczne, i bezsensowne zmiany koloru. rytmika w miarę ok (chociaż w filmach było pewnie przesunięcie względem ścieżki dźwiękowej).
do ustawienia ręcznego możnaby wprowadzić tego typu zmiany pulsacji wobec rytmu, albo po prostu lepsze ręczne ustawienia wstępne zrobić??"
38,2026-08-13 00:49:08,2026-08-13 01:00:03,anonymous,,Polski,"Hobbystyczne lub teoretyczne (interesuję się tym, mam podstawową wiedzę)",Kilka razy w roku,2,4,4,5 - Znakomite,3,3,3,4,5 - Znakomite,4,3,4,4,5 - Znakomite,4,2,3,3,5 - Znakomite,4,4,5 - Znakomite,5 - Znakomite,5 - Znakomite,4,3,3,4,4,4,Raczej tak,
